#Número registro,Nombre tercero,Descripción,Fecha contable,Importe bruto,Orgánica,Programa,Económica
2014.0000326,"COPISTERIA DE CASTELLON, S.L.",16/01/14. COPIAS PLANOS PARA ACTIVIDADES.,18/03/2014,"117,61 €",6,15124,22000
2014.0003068,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,DEL 29/04 AL 24/05/14. MATERIAL DE FERRETERIA PARA SU USO POR TALLER DE BRIGADAS.,16/07/2014,"3.596,19 €",6,15540,221990
2014.0003102,WURTH ESPAÑA SA,05/05/14. MATERIAL PARA SU REPOSICIÓN EN EL ALMACÉN DE BRIGADAS.,30/07/2014,"1.130,12 €",6,15540,221990
2014.0003128,"BECSA, S.A.U.",MAYO/14. SUMINISTRO DE ASFALTO EN FRIO.,07/08/2014,"1.569,07 €",6,15540,21002
2014.0003135,MANUEL SELVI MILLAN COMUNICACIONES SL,"14/03/14. REPARACIÓN EMISORAS DE BRIGADAS, PRIMERA OPERACIÓN CONTABLE S/BASE 5 DE LAS BASES DE EJEC.PRESUPUESTO",30/07/2014,"74,52 €",6,15540,21300
2014.0003153,PINTURAS ALFONSO CADROY SL,DEL 20 AL 29/05/14. MATERIAL DE PINTURA PARA SU USO POR TALLER DE BRIGADAS.,30/07/2014,"795,12 €",6,15540,221990
2014.0003173,LIMAC MATERIALES DE CONSTRUCCION SL,DEL 16 AL 27/05/14. MATERIAL DE FONTANERIA PARA SU USO POR BRIGADAS.,07/08/2014,"608,19 €",6,15540,221990
2014.0003209,TRANSPORTES ALEGRE MONFERRER SL,MAYO/14. TRANSPORTE DE MATERIALES Y UTILIZACION DE MAQUINARIA INDUSTRIAL ESPECIFICA. JGL. 27-01-12,15/07/2014,"16.588,47 €",6,15540,22300
2014.0003219,PINTURAS ALFONSO CADROY SL,DEL 4 AL 10/06/14. MATERIAL DE PINTURA PARA SU USO POR BRIGADAS.,25/09/2014,"1.926,32 €",6,15540,221990
2014.0003270,MADERAS FARNOS SL,06/06/14. MATERIAL DE CARPINTERIA PARA SU USO POR TALLER DE BRIGADAS.,30/07/2014,"2.157,73 €",6,15540,221990
2014.0003313,TRANSPORTES ALEGRE MONFERRER SL,18/06/14. APORTE DE ARENA.,25/09/2014,"520,30 €",6,15540,221990
2014.0003314,DEMOLICIONES Y SERVICIOS MENGUILLO SL,18/06/14. SERVICIO DE TRANSPORTE PARA RETIRADA MATERIAL RESIDUAL DE TETUÁN XIV.,31/10/2014,"3.388,00 €",6,15540,22300
2014.0003397,"MARMOLES GUIJARRO BIOSCA, S.L",20/06/14. MATERIAL DE BRIGADAS PARA SU USO POR BRIGADAS.,03/10/2014,"85,86 €",6,15540,221990
2014.0003424,CASTELLO FERRETERS SL,"DEL 16 AL 30/04/14. MATERIAL DE CERRAJERIA PARA SU USO POR TALLER DE BRIGADAS, COMPENSACION SEGUN DECRETO FECHA",14/08/2014,"324,82 €",6,15540,221990
2014.0003425,CASTELLO FERRETERS SL,"DEL 07 AL 22/05/14. MATERIAL DE CERRAJERIA PARA SU USO POR TALLER DE BRIGADAS, COMPENSACION SEGUN DECRETO FECHA",14/08/2014,"193,03 €",6,15540,221990
2014.0003429,CASTELLO FERRETERS SL,"22/05/14. MATERIAL DE CERRAJERIA PARA SU USO POR TALLER DE BRIGADAS, COMPENSACION SEGUN DECRETO FECHA",14/08/2014,"173,64 €",6,15540,221990
2014.0003432,CONFECCIONES LABORALES CASTELLON SL,12/06/14. ADQUISICIÓN VESTUARIO PARA BRIGADAS MUNICIPALES.,14/08/2014,"534,82 €",6,15540,22104
2014.0003509,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,MATERIAL PARA SU USO POR BRIGADAS.,03/10/2014,"200,47 €",6,15540,221990
2014.0003512,BENITO URBAN SLU,30/05/14. MATERIAL PARA SU USO POR BRIGADAS.,14/08/2014,"6.912,73 €",6,15540,221990
2014.0003534,CASTELLO FERRETERS SL,"09/06/14. MATERIAL DE CERRAJERIA PARA SU USO POR TALLER DE BRIGADAS, COMPENSACIÓN SEGUN DECRETO FECHA",14/08/2014,"195,58 €",6,15540,221990
2014.0003540,CASTELLO FERRETERS SL,"12/06/14. MATERIAL DE CERRAJERIA PARA SU USO POR TALLER DE BRIGADAS, COMPENSACION SEGUN DECRETO FECHA",14/08/2014,"80,34 €",6,15540,221990
2014.0003692,LUBATECNIC SL,"MATERIAL PARA SU DISTRIBUCION A LOS C.P. FADRELL, SOLER I GODES Y MAESTRO CANOS.",25/09/2014,"130,66 €",6,15540,221990
2014.0003693,QUIMICA INDUSTRIAL MEDITERRANEA SLU,SUMINISTRO MATERIAL EN ALMACEN DE BRIGADAS MUNICIPALES,25/09/2014,"2.521,88 €",6,15540,221990
2014.0003724,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,DEL 2 AL 20/06/14. MATERIAL DE FERRETERIA PARA SU USO POR TALLER DE BRIGADAS.,25/09/2014,"1.991,54 €",6,15540,221990
2014.0003727,"CACICAS, C.B",DEL 2 AL 5/06/14. MATERIAL PARA SU USO POR TALLER DE BRIGADAS.,25/09/2014,"1.399,61 €",6,15540,221990
2014.0003730,LIMAC MATERIALES DE CONSTRUCCION SL,DEL 16 AL 25/06/14. MATERIAL DE FONTANERIA PARA SU USO POR TALLER DE BRIGADAS.,25/09/2014,"1.215,08 €",6,15540,221990
2014.0003731,CASMAR 2000 S.A.,SEÑALIZACIONES PARA SU USO POR BRIGADAS MUNICIPALES.,25/09/2014,"108,90 €",6,15540,221990
2014.0003732,RICARDO PERIS SL,JUNIO/14. MATERIAL DE CONSTRUCCIÓN PARA SU USO POR TALLER DE BRIGADAS.,25/09/2014,"3.066,76 €",6,15540,221990
2014.0003736,TRANSPORTES ALEGRE MONFERRER SL,"JUNIO/14, TRANSPORTE DE MATERIALES Y UTILIZACION DE MAQUINARIA INDUSTRIAL ESPECIFICA. JGL. 27-01-12",24/09/2014,"21.054,61 €",6,15540,22300
2014.0003737,SUMINISTROS INDUSTRIALES Y RECAMBIOS SL,DEL 2 AL 15/05/14. MATERIAL DE CERRAJERIA PARA SU USO POR TALLER DE BRIGADAS.,25/09/2014,"285,72 €",6,15540,221990
2014.0003739,SUMINISTROS INDUSTRIALES Y RECAMBIOS SL,DEL 03 AL 12/06/14. MATERIAL DE CERRAJERIA PARA SU USO POR TALLER DE BRIGADAS.,25/09/2014,"397,17 €",6,15540,221990
2014.0003740,SUMINISTROS INDUSTRIALES Y RECAMBIOS SL,DEL 19 AL 27/05/14. SUMINISTRO MATERIAL DE CERRAJERIA PARA SU USO POR TALLER DE BRIGADAS.,25/09/2014,"321,56 €",6,15540,221990
2014.0003842,"COMERCIAL DE FUSTERIA BENAGES,S.L.",20/06/14. MATERIAL DE CARPINTERIA PARA SU USO POR BRIGADAS.,25/09/2014,"1.695,97 €",6,15540,221990
2014.0003876,CANTERA LA TORRETA SAU,JUNIO/14. MATERIAL DE ASFALTO PARA BRIGADAS.,25/09/2014,"44,83 €",6,15540,221991
2014.0003885,MATERIALES FRANS BONHOMME SL,MATERIAL PARA SU USO POR BRIGADAS.,25/09/2014,"1.959,47 €",6,15540,221990
2014.0003886,MATERIALES FRANS BONHOMME SL,MATERIAL PARA SU USO POR TALLER DE BRIGADAS.,25/09/2014,"345,79 €",6,15540,221990
2014.0003887,"BALDOCER, S.A.",12/06/14. SUMINISTRO ROTULOS DE CALLES PARA SU POSTERIOR COLOCACIÓN EN LA VIA PÚBLICA.,25/09/2014,"145,20 €",6,15540,221990
2014.0003894,AFILCAS SL,04/06/14. AFILAR SIERRA DE CINTA DE BRIGADAS MUNICIPALES.,25/09/2014,"31,46 €",6,15540,221990
2014.0003895,PINTURAS ALFONSO CADROY SL,DEL 17 AL 26/06/14. MATERIAL DE PINTURA PARA SU USO POR TALLER DE BRIGADAS.,25/09/2014,"511,62 €",6,15540,221990
2014.0003933,METALCO SA,JUNIO/14. MATERIAL PARA SU USO POR EL ALMACÉN DE BRIGADAS.,03/10/2014,"1.278,52 €",6,15540,221990
2014.0003947,WURTH ESPAÑA SA,13/06/14. MATERIAL PARA SU USO POR EL ALMACÉN DE BRIGADAS.,03/10/2014,"525,16 €",6,15540,221990
2014.0003948,"BECSA, S.A.U.",JUNIO/14. SUMINISTRO DE ASFALTO EN FRIO.,03/10/2014,"1.651,65 €",6,15540,21002
2014.0003966,BENITO URBAN SLU,04/06/14. MATERIAL PARA SU USO POR ALMACÉN DE BRIGADAS.,03/10/2014,"435,60 €",6,15540,221990
2014.0003967,BENITO URBAN SLU,15/05/14. MATERIAL PARA SU USO POR ALMACÉN DE BRIGADAS.,03/10/2014,"2.133,47 €",6,15540,221990
2014.0003968,BENITO URBAN SLU,03/07/14. MATERIAL PARA SU USO POR ALMACÉN DE BRIGADAS.,31/10/2014,"8.755,32 €",6,15540,221990
2014.0004043,CASTELLO FERRETERS SL,18 Y 23/06/14. MATERIAL DE CERRAJERIA PARA SU USO POR TALLER DE BRIGADAS.,03/10/2014,"607,86 €",6,15540,221990
2014.0004049,"COMERCIAL DE FUSTERIA BENAGES,S.L.",09/07/14. MATERIAL DE CARPINTERIA PARA SU REPOSICIÓN EN EL ALMACÉN DE BRIGADAS.,03/10/2014,"99,28 €",6,15540,221990
2014.0004071,CASTELLO FERRETERS SL,15/07/14. MATERIAL DE CARPINTERIA PARA SU USO POR TALLER DE BRIGADAS.,03/10/2014,"87,12 €",6,15540,221990
2014.0004073,CASTELLO FERRETERS SL,09/06/14. MATERIAL DE CERRAJERIA PARA SU USO POR TALLER DE BRIGADAS.,03/10/2014,"449,25 €",6,15540,221990
2014.0004126,SDAD ESPAÑOLA CARBUROS METALICOS SA,30/06/14. SOMINISTRO GAS PARA SOLDAR PARA TALLER DE CERRAJERIA.,03/10/2014,"229,23 €",6,15540,221990
2014.0004133,PINTURAS ALFONSO CADROY SL,DEL 2 AL 8/07/14. MATERIAL DE PINTURA PARA SU USO POR TALLER DE BRIGADAS.,03/10/2014,"312,71 €",6,15540,221990
2014.0004142,"RECA HISPANIA, S.A.U",DEL 6 AL 20/06/14. MATERIAL PARA SU USO POR BRIGADAS.,03/10/2014,"4.823,57 €",6,15540,221990
2014.0004160,BENITO URBAN SLU,30/06/14. MATERIAL PARA SU USO EN REPARACIONES DE JUEGOS INFANTILES.,03/10/2014,"7.660,75 €",6,15540,21500
2014.0004163,VIROSMA SL,3 Y 26/06/14. MATERIAL PARA SU USO POR TALLER DE BRIGADAS.,03/10/2014,"153,65 €",6,15540,221990
2014.0004164,VIROSMA SL,14/05/14. MATERIAL PARA SU USO POR TALLER DE BRIGADAS.,03/10/2014,"1.574,84 €",6,15540,221990
2014.0004165,BENITO URBAN SLU,24/03/14. MATERIAL PARA SU USO POR TALLER DE BRIGADAS.,03/10/2014,"393,25 €",6,15540,221990
2014.0004166,BENITO URBAN SLU,14/03/14. MATERIAL PARA SU USO POR TALLER DE BRIGADAS.,03/10/2014,"200,86 €",6,15540,221990
2014.0004181,"CRISTALERIA J VICENT, SL",COLOCACIÓN VIDRIO PUERTA EMERGENCIA EN LA PÉRGOLA.,03/10/2014,"165,50 €",6,15540,221990
2014.0004188,CASMAR 2000 S.A.,08/07/14. SUMINISTRO ROTATIVO SEÑALIZACIÓN GIRATORIO.,03/10/2014,"108,90 €",6,15540,221990
2014.0004189,CASMAR 2000 S.A.,11/07/14. MATERIAL PARA SU USO POR BRIGADAS.,03/10/2014,"808,99 €",6,15540,221990
2014.0004193,AFILCAS SL,30/07/14. REPARACIÓN MAQUINARIA DE BRIGADAS.,03/10/2014,"58,08 €",6,15540,221990
2014.0004226,DEMOLICIONES Y SERVICIOS MENGUILLO SL,31/07/14. SERVICIO DE ELEVADORES PARA TRASLADOS DE MOBILIARIO A EDIF. HUCHA Y EDIF. AYUNTAMIENTO DE VARIOS NEGOCIADOS.,03/10/2014,"5.759,60 €",6,15540,22300
2014.0004230,TRANSPORTES ALEGRE MONFERRER SL,"JULIO/14, TRANSPORTE DE MATERIALES Y UTILIZACION DE MAQUINARIA INDUSTRIAL ESPECIFICA. JGL. 27-01-12",03/10/2014,"20.014,03 €",6,15540,22300
2014.0004242,CERCADOS Y VALLAS CASTALIA SL,MATERIAL PARA SU USO POR TALLER DE BRIGADAS.,03/10/2014,"2.906,54 €",6,15540,221990
2014.0004244,QUIMICA INDUSTRIAL MEDITERRANEA SLU,11/07/14. MATERIAL PARA SU USO POR TALLER DE BRIGADAS.,03/10/2014,"2.057,00 €",6,15540,221990
2014.0004248,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,MATERIAL PARA SU USO POR TALLER DE BRIGADAS.,03/10/2014,"1.600,12 €",6,15540,221990
2014.0004249,"CACICAS, C.B",DEL 1 AL 24/07/14. MATERIAL DE CARPINTERIA PARA SU USO POR TALLER DE BRIGADAS.,03/10/2014,"5.354,01 €",6,15540,221990
2014.0004254,METALCO SA,24/07/14. MATERIAL PARA SU USO POR TALLER DE BRIGADAS.,03/10/2014,"249,26 €",6,15540,221990
2014.0004255,CASTELLO FERRETERS SL,DEL 04/07 AL 01/08/14. MATERIAL DE CERRAJERIA PARA SU USO POR TALLER DE BRIGADAS.,03/10/2014,"92,02 €",6,15540,221990
2014.0004267,SUMINISTROS CERRAJEROS CASTALIA SL,30/06/14. MATERIAL DE CERRAJERIA PARA SU USO POR TALLER DE BRIGADAS.,03/10/2014,"324,33 €",6,15540,221990
2014.0004268,SUMINISTROS CERRAJEROS CASTALIA SL,DEL 4 AL 23/07/14. MATERIAL DE CERRAJERIA PARA SU USO POR TALLER DE BRIGADAS.,03/10/2014,"319,17 €",6,15540,221990
2014.0004269,SUMINISTROS CERRAJEROS CASTALIA SL,09/06/14. MATERIAL DE CERRAJERIA PARA SU USO POR TALLER DE BRIGADAS.,03/10/2014,"382,11 €",6,15540,221990
2014.0004277,LIMAC MATERIALES DE CONSTRUCCION SL,DEL 9 AL 29/07/14. MATERIAL DE FONTANERIA PARA SU USO POR TALLER DE BRIGADAS.,13/11/2014,"700,93 €",6,15540,221990
2014.0004278,POLICOMBUSTION SL,29/07/14. MATERIAL DE FONTANERIA PARA SU USO POR TALLER DE BRIGADAS.,03/10/2014,"4,34 €",6,15540,221990
2014.0004283,SUMINISTROS INDUSTRIALES Y RECAMBIOS SL,DEL 16 AL 25/06/14. MATERIAL PARA SU USO POR TALLER DE BRIGADAS.,03/10/2014,"253,24 €",6,15540,221990
2014.0004290,SUMINISTROS INDUSTRIALES Y RECAMBIOS SL,DEL 2 AL 11/07/14. MATERIAL DE CERRAJERIA PARA SU USO POR TALLER DE BRIGADAS.,03/10/2014,"223,26 €",6,15540,221990
2014.0004296,RICARDO PERIS SL,JULIO/14. MATERIAL DE CONSTRUCCIÓN PARA SU USO POR BRIGADAS,03/10/2014,"7.612,97 €",6,15540,221990
2014.0004297,WURTH ESPAÑA SA,10 Y 14/07/14. MATERIAL PARA SU REPOSICIÓN EN EL ALMACÉN DE BRIGADAS.,03/10/2014,"1.616,26 €",6,15540,221990
2014.0004355,CASTELLO FERRETERS SL,03/02/14. MATERIAL DE FERRETERIA PARA SU USO POR TALLER DE BRIGADAS.,03/10/2014,"990,87 €",6,15540,221990
2014.0004363,CRISTALERIA EDO ROVIRA SL,MATERIAL DE CRISTALERIA PARA SU USO POR BRIGADAS MUNICIPALES.,03/10/2014,"95,30 €",6,15540,221990
2014.0004364,PINTURAS ALFONSO CADROY SL,DEL 16 AL 30/07/14. MATERIAL DE PINTURA PARA SU USO POR TALLER DE BRIGADAS.,03/10/2014,"1.109,70 €",6,15540,221990
2014.0004372,"COMERCIAL DE FUSTERIA BENAGES,S.L.",DEL 16 AL 31/07/14. MATERIAL DE CARPINTERIA PARA SU USO POR TALLER DE BRIGADAS.,03/10/2014,"1.150,91 €",6,15540,221990
2014.0004398,PINTURAS ALFONSO CADROY SL,DEL 01 AL 12/08/14. MATERIAL DE PINTURA PARA SU USO POR TALLER DE BRIGADAS.,03/10/2014,"1.488,95 €",6,15540,221990
2014.0004443,CANTERA LA TORRETA SAU,JULIO/14. SUMINISTRO ÁRIDO PARA EL ASFALTO DE CALLES Y CAMINOS.,13/11/2014,"768,01 €",6,15540,221991
2014.0004578,SUMINISTROS CERRAJEROS CASTALIA SL,5 Y 29/08/14. MATERIAL DE CERRAJERIA PARA SU USO POR BRIGADAS.,13/11/2014,"71,22 €",6,15540,221990
2014.0004613,CERCADOS Y VALLAS CASTALIA SL,MATERIAL PARA SU USO POR BRIGADAS.,13/11/2014,"9.002,40 €",6,15540,221990
2014.0004640,"MARMOLES GUIJARRO BIOSCA, S.L",02/09/14. MATERIAL PARA SU USO POR TALLER DE BRIGADAS.,13/11/2014,"907,50 €",6,15540,221990
2014.0004642,"MARMOLES GUIJARRO BIOSCA, S.L",01/09/14. MATERIAL PARA SU USO POR TALLER DE BRIGADAS.,13/11/2014,"937,75 €",6,15540,221990
2014.0004643,LLANSOLA Y PRADES SL,28/08/14. MATERIAL PARA SU USO EN LA COLOCACIÓN DE MOBILIARIO.,13/11/2014,"285,80 €",6,15540,221990
2014.0004644,VIROSMA SL,DEL 7 AL 29/07/14. MATERIAL PARA SU USO POR TALLER DE BRIGADAS.,13/11/2014,"354,51 €",6,15540,221990
2014.0004648,RICARDO PERIS SL,AGOSTO/14. MATERIAL DE CONSTRUCCIÓN PARA SU USO POR TALLER DE BRIGADAS.,13/11/2014,"6.310,23 €",6,15540,221990
2014.0004687,PINTURAS ALFONSO CADROY SL,DEL 25 AL 28/08/14. MATERIAL DE PINTURA PARA SU USO POR TALLER DE BRIGADAS.,06/11/2014,"412,34 €",6,15540,221990
2014.0004691,LIMAC MATERIALES DE CONSTRUCCION SL,04/08/14. MATERIAL DE FONTANERIA PARA SU USO POR TALLER DE BRIGADAS.,13/11/2014,"37,15 €",6,15540,221990
2014.0004704,SUMINISTROS INDUSTRIALES Y RECAMBIOS SL,DEL 4 AL 11/08/14. MATERIAL PARA SU USO POR TALLER DE BRIGADAS.,13/11/2014,"58,25 €",6,15540,221990
2014.0004705,SUMINISTROS INDUSTRIALES Y RECAMBIOS SL,DEL 17 AL 24/07/14. MATERIAL PARA SU USO POR TALLER DE BRIGADAS.,13/11/2014,"160,48 €",6,15540,221990
2014.0004709,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,DEL 4 AL 11/08/14. MATERIAL DE FERRETERIA PARA SU USO POR TALLER DE BRIGADAS.,13/11/2014,"1.111,14 €",6,15540,221990
2014.0004715,"SUMINISTROS AE, S COOP V LTDA",DEL 1 AL 26/08/14. REPUESTOS PARA SU USO POR BRIGADAS.,13/11/2014,"391,94 €",6,15540,221990
2014.0004716,"SUMINISTROS AE, S COOP V LTDA",DEL 16 AL 31/07/14. MATERIAL PARA SU USO POR TALLER DE BRIGADAS.,13/11/2014,"671,27 €",6,15540,221990
2014.0004719,"SUMINISTROS AE, S COOP V LTDA",DEL 1 AL 10/07/14. MATERIAL PARA SU USO POR TALLER DE BRIGADAS.,13/11/2014,"96,32 €",6,15540,221990
2014.0004720,"SUMINISTROS AE, S COOP V LTDA",DEL 16 AL 30/06/14. MATERIAL PARA SU USO POR TALLER DE BRIGADAS.,13/11/2014,"759,19 €",6,15540,221990
2014.0004721,"SUMINISTROS AE, S COOP V LTDA",DEL 5 AL 15/05/14. MATERIAL PARA SU USO POR TALLER DE BRIGADAS.,13/11/2014,"469,17 €",6,15540,221990
2014.0004722,"SUMINISTROS AE, S COOP V LTDA",DEL 2 AL 12/06/14. MATERIAL PARA SU USO POR TALLER DE BRIGADAS.,13/11/2014,"335,85 €",6,15540,221990
2014.0004723,"SUMINISTROS AE, S COOP V LTDA",DEL 16 AL 29/05/14. MATERIAL PARA SU USO POR TALLER DE BRIGADAS.,06/11/2014,"531,99 €",6,15540,221990
2014.0004724,"BECSA, S.A.U.",AGOSTO/14. SUMINISTRO ASFALTO EN FRIO PARA CALLES Y CAMINOS.,06/11/2014,"1.573,00 €",6,15540,21002
2014.0004733,WURTH ESPAÑA SA,07/08/14. SUMINISTRO MATERIAL PARA SU USO POR BRIGADAS.,06/11/2014,"236,24 €",6,15540,221990
2014.0004746,"COMERCIAL DE FUSTERIA BENAGES,S.L.",04/09/14. MATERIAL DE CARPINTERIA PARA SU USO POR BRIGADAS.,31/10/2014,"91,48 €",6,15540,221990
2014.0004750,INDUSTRIAS TITAN  S A,06/08/14. MATERIAL DE PINTURA PARA SU USO POR TALLER DE BRIGADAS.,31/10/2014,"485,73 €",6,15540,221990
2014.0004751,INDUSTRIAS TITAN  S A,08/08/14. MATERIAL DE PINTURA PARA SU USO POR TALLER DE BRIGADAS.,31/10/2014,"119,03 €",6,15540,221990
2014.0004752,INDUSTRIAS TITAN  S A,13/08/14. MATERIAL DE PINTURA PARA SU USO POR TALLER DE BRIGADAS.,06/11/2014,"81,65 €",6,15540,221990
2014.0004753,INDUSTRIAS TITAN  S A,28/08/14. MATERIAL DE PINTURA PARA SU USO POR TALLER DE BRIGADAS.,13/11/2014,"39,68 €",6,15540,221990
2014.0004754,INDUSTRIAS TITAN  S A,08/08/14. MATERIAL DE PINTURA PARA SU USO POR TALLER DE BRIGADAS.,06/11/2014,"158,70 €",6,15540,221990
2014.0004781,TRANSPORTES ALEGRE MONFERRER SL,AGOSTO/14. TRANSPORTE DE MATERIALES Y UTILIZACION DE MAQUINARIA INDUSTRIAL ESPECIFICA. JGL. 27-01-12,03/11/2014,"15.004,11 €",6,15540,22300
2014.0004797,CASTELLO FERRETERS SL,29/08/14. MATERIAL DE FERRETERIA PARA SU USO POR TALLER DE BRIGADAS.,12/11/2014,"171,82 €",6,15540,221990
2014.0004817,TERRITORIO URBANO SL,18/07/14. MATERIAL PARA SU USO POR TALLER DE BRIGADAS.,12/11/2014,"4.071,65 €",6,15540,221990
2014.0004831,"RECA HISPANIA, S.A.U",18 Y 22/07/14. MATERIAL PARA SU USO POR TALLER DE BRIGADAS.,12/11/2014,"660,20 €",6,15540,221990
2014.0004832,"RECA HISPANIA, S.A.U",06/08/14. MATERIAL PARA SU USO POR TALLER DE BRIGADAS.,12/11/2014,"968,61 €",6,15540,221990
2014.0004855,INDUSTRIAS TITAN  S A,04/09/14. MATERIAL DE PINTURA PARA SU USO POR TALLER DE BRIGADAS.,12/11/2014,"159,33 €",6,15540,221990
2014.0004930,CASTELLO FERRETERS SL,DEL 4 AL 11/09/14. MATERIAL DE FERRETERIA PARA SU USO POR TALLER DE BRIGADAS.,13/11/2014,"183,84 €",6,15540,221990
2014.0004933,PINTURAS ALFONSO CADROY SL,DEL 1 AL 11/09/14. MATERIAL DE PINTURA PARA SU USO POR TALLER DE BRIGADAS.,13/11/2014,"928,74 €",6,15540,221990
2014.0005149,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,08 Y 11/09/14. MATERIAL DE CONSTRUCCIÓN PARA SU USO POR TALLER DE BRIGADAS.,13/11/2014,"336,34 €",6,15540,221990
2014.0005153,"BECSA, S.A.U.",JULIO/14. SUMINISTRO ASFALTO EN FRIO PARA CALLES Y CAMINOS.,13/11/2014,"1.497,50 €",6,15540,21002
2014.0005301,SUMINISTROS CERRAJEROS CASTALIA SL,08/09/14. MATERIAL DE CERRAJERIA PARA SU USO POR TALLER DE BRIGADAS.,23/12/2014,"105,77 €",6,15540,221990
2014.0005314,"BALDOCER, S.A.",11/09/14. SUMINISTRO ROTULOS CALLES PARA SU POSTERIOR COLOCACIÓN.,23/12/2014,"181,50 €",6,15540,221990
2014.0005318,RICARDO PERIS SL,DEL 1 AL 30/09/14. MATERIAL DE CONSTRUCCIÓN PARA SU USO POR TALLER DE BRIGADAS.,23/12/2014,"2.624,84 €",6,15540,221990
2014.0005322,LLANSOLA Y PRADES SL,08/09/14. SUMINISTRO BISAGRAS PARA SU USO POR TALLER DE BRIGADAS.,23/12/2014,"11,33 €",6,15540,221990
2014.0005328,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,DEL 8 AL 25/09/14. MATERIAL DE FERRETERIA PARA SU USO POR TALLER DE BRIGADAS.,23/12/2014,"671,37 €",6,15540,221990
2014.0005333,CANTERA LA TORRETA SAU,SEPTIEMBRE/14. SUMINISTRO ARIDO PARA ASFALTADO DE CALLES Y CAMINOS.,23/12/2014,"159,16 €",6,15540,221991
2014.0005342,"CACICAS, C.B",22/09/14. MATERIAL PARA SU USO POR TALLER DE BRIGADAS.,23/12/2014,"277,62 €",6,15540,221990
2014.0005369,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,31/07/14. MATERIAL PARA SU USO POR TALLER DE BRIGADAS.,23/12/2014,"117,94 €",6,15540,221990
2014.0005370,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,17/09/14. REPOSICIÓN MATERIAL PARA SU USO POR TALLER DE BRIGADAS.,23/12/2014,"21,30 €",6,15540,221990
2014.0005371,LIMAC MATERIALES DE CONSTRUCCION SL,DEL 2 AL 23/09/14. MATERIAL DE CONSTRUCCIÓN PARA SU USO POR TALLER DE BRIGADAS.,23/12/2014,"851,13 €",6,15540,221990
2014.0005388,PINTURAS ALFONSO CADROY SL,DEL 19 AL 25/09/14. MATERIAL DE PINTURA PARA SU USO POR TALLER DE BRIGADAS.,23/12/2014,"635,27 €",6,15540,221990
2014.0005475,LUBATECNIC SL,SUMINISTRO LAMAS PARA SU POSTERIOR COLOCACIÓN EN C.P. HERRERO.,23/12/2014,"37,51 €",6,15540,221990
2014.0005478,"TOLDOS TARREGA, S.L.",MATERIAL PARA SU USO POR TALLER DE BRIGADAS.,23/12/2014,"3,80 €",6,15540,221990
2014.0005533,INDUSTRIAS TITAN  S A,6/10/2014 PINTURA PARA EL DEPARTAMENTO DE BRIGADAS,23/12/2014,"121,11 €",6,15540,221990
2014.0005534,INDUSTRIAS TITAN  S A,08/10/2014 PINTURA  PARA EL DEPARTEMENTO DE BRIGADAS,23/12/2014,"54,67 €",6,15540,221990
2014.0005535,PINTURAS ALFONSO CADROY SL,01/10/14 AL 15/10/2014 PINTURA PARA DEPARTAMENTO DE BRIGADAS,23/12/2014,"1.078,97 €",6,15540,221990
2014.0005536,CASTELLO FERRETERS SL,05/09/2014 Y 22/09/2014 MATERIAL DE FERRETERIA PARA EL DEPARTAMENTO DE BRIGADAS,23/12/2014,"138,13 €",6,15540,221990
2014.0005540,SUMINISTROS INDUSTRIALES Y RECAMBIOS SL,04/09/2014 AL 11/09/2014 MATERIAL PARA SU USO POR TALLER DE BRIGADAS,23/12/2014,"370,55 €",6,15540,221990
2014.0005541,SUMINISTROS INDUSTRIALES Y RECAMBIOS SL,24/09/2014 AL 29/09/2014 MATERIAL PARA SU USO POR TALLER DE BRIGADAS,23/12/2014,"291,05 €",6,15540,221990
2014.0005543,SUMINISTROS INDUSTRIALES Y RECAMBIOS SL,08/10/2014 AL 14/10/2014 MATERIAL PARA SU USO POR TALLER DE BRIGADAS,23/12/2014,"80,77 €",6,15540,221990
2014.0005559,TRANSPORTES ALEGRE MONFERRER SL,OCTUBRE/14. TRANSPORTE DE MATERIALES Y UTILIZACION DE MAQUINARIA INDUSTRIAL ESPECIFICA. JGL. 27-01-12,19/12/2014,"22.409,48 €",6,15540,22300
2014.0005602,PATRICIO CABEZAS SA,22/09/14 ARRENDAMIENTO VALLAS CONTENCIÓN DE PEATONES PARA SERVICIO BRIGADAS MUNICIPALES.,23/12/2014,"4.719,00 €",6,15540,20300
