#Número registro,Nombre tercero,Descripción,Fecha contable,Importe bruto,Orgánica,Programa,Económica
2013.0000092,"ACUSTICA Y TELECOMUNICACIONES, S.L.","10/12/12. SERVICIO ""ESTUDIO DE EVALUACION AMBIENTAL EN ZONA TASCAS DE CASTELLON""",25/04/2013,"3.630,00 €",6,15125,227060
2013.0007119,SAT MAS DE RANDER,REGALOS INSTITUCIONALES DEL SR. ALCALDE EN SU VISITA A JAPÓN.,30/12/2013,"27,00 €",1,91200,226010
2013.0007134,TIC TAC EVENTOS Y ANIMACIONES C.B.,DISCOMOVIL FIESTAS SAN PEDRO,30/12/2013,"300,00 €",1,91200,226021
2013.0007135,ASOCIACION PARA EL DESARROLLO DE LA COMUNICACION,CUOTA ADCOMUNICA 2013,30/12/2013,"400,00 €",1,91200,48902
2013.0007139,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,DICIEMBRE/13. SERVICIO DE PROTOCOLO DEL AYUNTAMIENTO DE CASTELLON DE LA PLANA DEC 31/07/13,30/12/2013,"2.670,89 €",1,91200,226011
2013.0000158,ARGOT CULTURAL S L,"DICIEMBRE/12, SUMINISTRO DE LIBROS CON DESTINO A CENTROS DE LECTURA MUNICIPALES. LOTE 1: LIBROS INFANTILES Y JUVENILES. DEC. 01-08-12",13/02/2013,"529,74 €",5,33200,220011
2013.0000159,LLIBRERIA CASTELLO SL,"DICIEMBRE/12, SUMINISTRO DE LIBROS CON DESTINO A CENTROS DE LECTURA MUNICIPALES. LOTE 2: LIBROS DE NARRATIVA. DEC. 01-08-12",13/02/2013,"566,42 €",5,33200,220011
2013.0000160,PLACIDO GOMEZ SL,"DICIEMBRE/12, SUMINISTRO DE LIBROS CON DESTINO A CENTROS DE LECTURA MUNICIPALES. LOTE 3: LIBROS MATERIAS VARIAS. DEC. 01-08-12",13/02/2013,"564,19 €",5,33200,220011
2013.0000240,P-4 SL,"DICIEMBRE 12 ALQUILER DEL LOCAL SITO EN AVDA CASALDUCH 84 BAJO CON DESTINO A ESPAI PUBLIC LECTURA, COMPENSACION SEGUN DECRETO FECHA 11-07-2013.",22/01/2013,"4.167,25 €",5,33200,20200
2013.0000241,MOLINA Y POZO SL,DICIEMBRE 12 ALQUILER DEL LOCAL SITO EN CL MANUEL AZAÑA 8 CON DESTINO A ESPAI PUBLIC LECTURA,22/01/2013,"916,45 €",5,33200,20200
2013.0000423,EDITORIAL PRENSA VALENCIANA SA,2013. SUSCRIPCIÓN AL LEVANTE DE CASTELLÓN PARA 8 ESPACIOS DE LECTURA.,18/02/2013,"4.098,40 €",5,33200,220010
2013.0000439,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,DICIEMBRE/12. PRENSA PARA BILIOTECA MUNICIPAL C/MAYOR,28/03/2013,"265,05 €",5,33200,220010
2013.0000440,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,DICIEMBRE/12. PRENSA PARA BIBLIOTECA DEL GRAO.,20/02/2013,"125,10 €",5,33200,220010
2013.0000441,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,DICIEMBRE/12. PRENSA PARA BIBLIOTECA CENSAL.,20/02/2013,"154,55 €",5,33200,220010
2013.0000451,ARGOT CULTURAL S L,"ENERO/13, SUMINISTRO DE LIBROS DESTINO A CENTROS DE LECTURA MUNICIPALES. LOTE 1: LIBROS INFANTILES Y JUVENILES. DEC. 01-08-12",13/02/2013,"568,35 €",5,33200,220011
2013.0000452,LLIBRERIA CASTELLO SL,"ENERO/13, SUMINISTRO DE LIBROS DESTINO A CENTROS DE LECTURA MUNICIPALES. LOTE 2: LIBROS DE NARRATIVA. DEC. 01-08-12",13/02/2013,"564,52 €",5,33200,220011
2013.0000455,PLACIDO GOMEZ SL,"ENERO/13, SUMINISTRO DE LIBROS DESTINO A CENTROS DE LECTURA MUNICIPALES. LOTE 3: LIBROS MATERIAS VARIAS. DEC. 01-08-12",13/02/2013,"565,29 €",5,33200,220011
2013.0000620,P-4 SL,"ENERO 13 ALQUILER DEL LOCAL SITO EN AVDA CASALDUCH 84 BAJO CON DESTINO A ESPAI PUBLIC LECTURA, COMPENSACION SEGUN DECRETO FECHA 11-07-2013.",22/02/2013,"1.815,00 €",5,33200,20200
2013.0000621,MOLINA Y POZO SL,ENERO 13 ALQUILER DEL LOCAL SITO EN CL MANUEL AZAÑA 8 CON DESTINO A ESPAI PUBLIC LECTURA,22/02/2013,"916,45 €",5,33200,20200
2013.0000727,PLACIDO GOMEZ SL,"FEBRERO/13, SUMINISTRO DE LIBROS CON DESTINO A CENTROS DE LECTURA MUNICIPALES. LOTE 3: LIBROS MATERIAS VARIAS. DEC. 01-08-12",27/02/2013,"560,71 €",5,33200,220011
2013.0000728,ARGOT CULTURAL S L,"FEBRERO/13, SUMINISTRO LIBROS DESTINO A CENTROS DE LECTURA MUNICIPALES. LOTE 1: LIBROS INFANTILES Y JUVENILES. DEC. 01-08-12",27/02/2013,"557,74 €",5,33200,220011
2013.0000729,LLIBRERIA CASTELLO SL,"FEBRERO/13, SUMINISTRO LIBROS DESTINO A CENTROS DE LECTURA MUNICIPALES. LOTE 2: LIBROS DE NARRATIVA. DEC. 01-08-12",27/02/2013,"562,21 €",5,33200,220011
2013.0000736,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,ENERO/13. PRENSA PARA BIBLIOTECA MUNICIPAL.,28/02/2013,"314,70 €",5,33200,220010
2013.0000737,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,ENERO/13. PRENSA PARA BIBLIOTECA DEL GRAO.,28/02/2013,"133,25 €",5,33200,220010
2013.0000738,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,ENERO/13. PRENSA PARA BIBLIOTECA CENSAL.,28/02/2013,"189,65 €",5,33200,220010
2013.0000815,PROMOCIONES Y EDICIONES CULTURALES SA,2013. SUSCRIPCIÓN AL DIARIO MEDITERRÁNEO DE LOS 8 ESPACIOS DE LECTURA.,28/03/2013,"3.344,00 €",5,33200,220010
2013.0000970,P-4 SL,FEBRERO 13 ALQUILER DEL LOCAL SITO EN AVDA CASALDUCH 84 BAJO CON DESTINO A ESPAI PUBLIC LECTURA,20/03/2013,"1.815,00 €",5,33200,20200
2013.0000971,MOLINA Y POZO SL,FEBRERO 13 ALQUILER DEL LOCAL SITO EN CL MANUEL AZAÑA 8 CON DESTINO A ESPAI PUBLIC LECTURA,20/03/2013,"756,25 €",5,33200,20200
2013.0001140,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,FEBRERO/13. PRENSA PARA BIBLIOTECA MUNIICPAL C/MAYOR.,17/04/2013,"295,60 €",5,33200,220010
2013.0001141,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,FEBRERO/13. PRENSA PARA BIBLIOTECA DEL GRAO.,17/04/2013,"121,30 €",5,33200,220010
2013.0001142,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,FEBRERO/13. PRENSA PARA BIBLIOTECA CENSAL.,17/04/2013,"172,55 €",5,33200,220010
2013.0001160,SENIA ACTIVITATS EDUCATIVES CB,DEL 28/02 AL 01/03/13. TALLER DENTRO DE LA VIII CAMPAÑA DE ANIMACION A LA LECTURA EN LOS ESPAIS DE LECTURA PUBLICS MUNICIPALS.DEC 5/02/13,11/04/2013,"528,00 €",5,33200,22605
2013.0001255,ARGOT CULTURAL S L,"MARZO/13, LIBROS CON DESTINO A CENTROS DE LECTURA MUNICIPALES. LOTE 1: LIBROS INFANTILES Y JUVENILES. DEC. 01-08-12",22/04/2013,"566,00 €",5,33200,220011
2013.0001256,LLIBRERIA CASTELLO SL,"MARZO/13, LIBROS CON DESTINO A CENTROS DE LECTURA MUNICIPALES. LOTE 2: LIBROS DE NARRATIVA. DEC. 01-08-12",22/04/2013,"567,51 €",5,33200,220011
2013.0001257,PLACIDO GOMEZ SL,"MARZO/13, LIBROS CON DESTINO A CENTROS DE LECTURA MUNICIPALES. LOTE 3: LIBROS MATERIAS VARIAS. DEC. 01-08-12",22/04/2013,"569,92 €",5,33200,220011
2013.0001347,P-4 SL,ATRASOS INCREMENTO DEL IPC ALQUILER DEL LOCAL SITO EN AVDA CASALDUCH 84 BAJO CON DESTINO A ESPAI PUBLIC LECTURA,22/04/2013,"52,64 €",5,33200,20200
2013.0001439,P-4 SL,MARZO 13 ALQUILER DEL LOCAL SITO EN AVDA CASALDUCH 84 BAJO CON DESTINO A ESPAI PUBLIC LECTURA,22/04/2013,"1.867,64 €",5,33200,20200
2013.0001441,MOLINA Y POZO SL,MARZO 13 ALQUILER DEL LOCAL SITO EN CL MANUEL AZAÑA 8 CON DESTINO A ESPAI PUBLIC LECTURA,22/04/2013,"756,25 €",5,33200,20200
2013.0001699,ARGOT CULTURAL S L,"ABRIL/13, SUMINISTRO DE LIBROS DESTINO A CENTROS DE LECTURA MUNICIPALES. LOTE 1: LIBROS INFANTILES Y JUVENILES. DEC. 01-08-12",06/05/2013,"564,08 €",5,33200,220011
2013.0001700,LLIBRERIA CASTELLO SL,"ABRIL/13, LIBROS CON DESTINO A CENTROS DE LECTURA MUNICIPALES. LOTE 2: LIBROS DE NARRATIVA. DEC. 01-08-12",06/05/2013,"562,52 €",5,33200,220011
2013.0001701,PLACIDO GOMEZ SL,ABRIL/13. LIBROS CON DESTINO A CENTROS DE LECTURA MUNICIPALES. LOTE 3: LIBROS MATERIAS VARIAS. DEC. 01-08-12,06/05/2013,"572,01 €",5,33200,220011
2013.0001888,"EDICIONES EL PAIS, S.L.",2013. SUSCRIPCIÓN DIARIO MEDITERRANEO PARA ESPAI DE LECTURA ANTIGUA ESTACIÓN.,17/05/2013,"365,00 €",5,33200,220010
2013.0001975,P-4 SL,"ABRIL 13 ALQUILER DEL LOCAL SITO EN AVDA CASALDUCH 84 BAJO CON DESTINO A ESPAI PUBLIC LECTURA, COMPENSACION SEGUN DECRETO FECHA 11-07-2013.",15/05/2013,"1.867,64 €",5,33200,20200
2013.0001976,MOLINA Y POZO SL,ABRIL 13 ALQUILER DEL LOCAL SITO EN CL MANUEL AZAÑA 8 CON DESTINO A ESPAI PUBLIC LECTURA,15/05/2013,"756,25 €",5,33200,20200
2013.0002015,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,NOVIEMBRE 12 INCREMENTO DEL IPC DEL LOCAL SITO EN LA CONFLUENCIA ENTRE LA CL ALCALATEN Y ALBACETE CON DESTINO A ESPAI PÚBLIC DE LECTURA,27/06/2013,"17,32 €",5,33200,20200
2013.0002099,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,DICIEMBRE 12 ALQUILER DEL LOCAL SITO EN CONCLUENCIAS CL ALCALATEN Y ALBACENTE  CON DESTINO A ESPAI PUBLIC LECTURA,22/05/2013,"509,48 €",5,33200,20200
2013.0002100,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,DICIEMBRE 12 INCREMENTO IPC ALQUILER DEL LOCAL SITO EN CONCLUENCIAS CL ALCALATEN Y ALBACENTE  CON DESTINO A ESPAI PUBLIC LECTURA,22/05/2013,"17,32 €",5,33200,20200
2013.0002102,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,ENERO 13 ALQUILER DEL LOCAL SITO EN CONCLUENCIAS CL ALCALATEN Y ALBACENTE  CON DESTINO A ESPAI PUBLIC LECTURA,22/05/2013,"526,81 €",5,33200,20200
2013.0002103,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,FEBRERO13 ALQUILER DEL LOCAL SITO EN CONCLUENCIAS CL ALCALATEN Y ALBACENTE  CON DESTINO A ESPAI PUBLIC LECTURA,22/05/2013,"526,81 €",5,33200,20200
2013.0002105,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,MARZO 13 ALQUILER DEL LOCAL SITO EN CONCLUENCIAS CL ALCALATEN Y ALBACENTE  CON DESTINO A ESPAI PUBLIC LECTURA,22/05/2013,"526,81 €",5,33200,20200
2013.0002110,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,ABRIL 13 ALQUILER DEL LOCAL SITO EN CONCLUENCIAS CL ALCALATEN Y ALBACENTE  CON DESTINO A ESPAI PUBLIC LECTURA,22/05/2013,"526,81 €",5,33200,20200
2013.0002127,P-4 SL,"MAYO 13 ALQUILER DEL LOCAL SITO EN AVDA CASALDUCH 84 BAJO CON DESTINO A ESPAI PUBLIC LECTURA, COMPENSACION SEGUN DECRETO FECHA 11-07-2013.",22/05/2013,"1.867,64 €",5,33200,20200
2013.0002130,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,MAYO 13 ALQUILER DEL LOCAL SITO EN CONCLUENCIAS CL ALCALATEN Y ALBACENTE  CON DESTINO A ESPAI PUBLIC LECTURA,22/05/2013,"526,81 €",5,33200,20200
2013.0002200,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,MARZO/13. PRENSA PARA BIBLIOTECA MUNIICPAL C/MAYOR.,29/05/2013,"252,85 €",5,33200,220010
2013.0002201,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,MARZO/13. PRENSA PARA BIBLIOTECA DEL GRAO.,29/05/2013,"121,10 €",5,33200,220010
2013.0002202,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,MARZO/13. PRENSA PARA BIBLIOTECA CENSAL.,29/05/2013,"146,55 €",5,33200,220010
2013.0002211,ARGOT CULTURAL S L,"MAYO/13, SUMINISTRO DE LIBROS CON DESTINO A CENTROS DE LECTURA MUNICIPALES. LOTE 1: LIBROS INFANTILES Y JUVENILES. DEC. 01-08-12",17/05/2013,"554,01 €",5,33200,220011
2013.0002212,LLIBRERIA CASTELLO SL,"MAYO/13, SUMINISTRO DE LIBROS CON DESTINO A CENTROS DE LECTURA MUNICIPALES. LOTE 2: LIBROS DE NARRATIVA. DEC. 01-08-12",17/05/2013,"562,99 €",5,33200,220011
2013.0002213,PLACIDO GOMEZ SL,"MAYO/13, SUMINISTRO DE LIBROS CON DESTINO A CENTROS DE LECTURA MUNICIPALES. LOTE 3: LIBROS MATERIAS VARIAS. DEC. 01-08-12",17/05/2013,"568,90 €",5,33200,220011
2013.0002626,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,ABRIL/13. PRENSA PARA BIBLIOTECA MUNIICPAL C/MAYOR.,27/06/2013,"297,60 €",5,33200,220010
2013.0002627,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,ABRIL/13. PRENSA PARA BIBLIOTECA CENSAL.,27/06/2013,"184,25 €",5,33200,220010
2013.0002629,SENIA ACTIVITATS EDUCATIVES CB,09/05/13. VIII CAMPAÑA DE ANIMACION A LA LECTURA EN LOS ESPAIS DE LECTURA PUBLICS MUNICIPALS.DEC 5/02/13,27/06/2013,"132,00 €",5,33200,22605
2013.0002630,SENIA ACTIVITATS EDUCATIVES CB,DEL 15 AL 19/04/13. VIII CAMPAÑA DE ANIMACION A LA LECTURA EN LOS ESPAIS DE LECTURA PUBLICS MUNICIPALS.DEC 5/02/13,27/06/2013,"528,00 €",5,33200,22605
2013.0002631,SENIA ACTIVITATS EDUCATIVES CB,14/03/13. VIII CAMPAÑA DE ANIMACION A LA LECTURA EN LOS ESPAIS DE LECTURA PUBLICS MUNICIPALS.DEC 5/02/13,27/06/2013,"132,00 €",5,33200,22605
2013.0002745,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,ABRIL/13. PRENSA PARA BIBLIOTECA DEL GRAO.,27/06/2013,"123,05 €",5,33200,220010
2013.0002762,MOLINA Y POZO SL,MAYO 13 ALQUILER DEL LOCAL SITO EN CL MANUEL AZAÑA 8 CON DESTINO A ESPAI PUBLIC LECTURA,03/07/2013,"756,25 €",5,33200,20200
2013.0002820,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,JUNIO 13 ALQUILER DEL LOCAL SITO EN CONCLUENCIAS CL ALCALATEN Y ALBACENTE  CON DESTINO A ESPAI PUBLIC LECTURA,03/07/2013,"526,81 €",5,33200,20200
2013.0002821,P-4 SL,JUNIO 13 ALQUILER DEL LOCAL SITO EN AVDA CASALDUCH 84 BAJO CON DESTINO A ESPAI PUBLIC LECTURA,03/07/2013,"1.867,64 €",5,33200,20200
2013.0002822,MOLINA Y POZO SL,JUNIO 13 ALQUILER DEL LOCAL SITO EN CL MANUEL AZAÑA 8 CON DESTINO A ESPAI PUBLIC LECTURA,03/07/2013,"756,25 €",5,33200,20200
2013.0002918,"GESTIONA CULTURA, S.L.U.",31/05/13. VIII CAMPAÑA DE ANIMACION A LA LECTURA EN LOS ESPAIS DE LECTURA PUBLICS MUNICIPALS. DEC 5/02/13,04/07/2013,"594,00 €",5,33200,22605
2013.0002931,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,ENERO A MARZO 13 GASTOS LUZ ALQUILER DEL LOCAL SITO EN CONCLUENCIAS CL ALCALATEN Y ALBACENTE  CON DESTINO A ESPAI PUBLIC LECTURA,04/07/2013,"78,60 €",5,33200,20200
2013.0003015,PLACIDO GOMEZ SL,"JUNIO/13, SUMINISTRO DE LIBROS CON DESTINO A CENTROS DE LECTURA MUNICIPALES. LOTE 3: LIBROS MATERIAS VARIAS. DEC. 01-08-12",11/07/2013,"570,03 €",5,33200,220011
2013.0003016,ARGOT CULTURAL S L,"JUNIO/13, SUMINISTRO DE LIBROS CON DESTINO A CENTROS DE LECTURA MUNICIPALES. LOTE 1: LIBROS INFANTILES Y JUVENILES. DEC. 01-08-12",11/07/2013,"569,75 €",5,33200,220011
2013.0003225,LLIBRERIA CASTELLO SL,"JUNIO/13, SUMINISTRO DE LIBROS CON DESTINO A CENTROS DE LECTURA MUNICIPALES. LOTE 2: LIBROS DE NARRATIVA. DEC. 01-08-12",18/07/2013,"569,16 €",5,33200,220011
2013.0003409,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,MAYO/13. PRENSA PARA BIBLIOTECA MUNICIPAL C/MAYOR.,12/08/2013,"312,05 €",5,33200,220010
2013.0003410,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,MAYO/13. PRENSA PARA BIBLIOTECA DEL GRAO.,12/08/2013,"129,75 €",5,33200,220010
2013.0003411,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,MAYO/13. PRENSA PARA BIBLIOTECA CENSAL.,12/08/2013,"185,40 €",5,33200,220010
2013.0003546,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,JUNIO/13. PRENSA PARA BILIOTECA MUNICIPAL C/MAYOR.,12/08/2013,"260,20 €",5,33200,220010
2013.0003547,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,JUNIO/13. PRENSA PARA BIBLIOTECA DEL GRAO.,12/08/2013,"116,30 €",5,33200,220010
2013.0003548,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,JUNIO/13. PRENSA PARA BIBLIOTECA CENSAL.,12/08/2013,"173,85 €",5,33200,220010
2013.0003567,MOLINA Y POZO SL,FEBRERO A JUNIO INCREMENTO IPC DEL ALQUILER DEL LOCAL SITO EN CL MANUEL AZAÑA 8 CON DESTINO A ESPAI PUBLIC LECTURA,20/08/2013,"84,70 €",5,33200,20200
2013.0003634,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,JULIO13 ALQUILER DEL LOCAL SITO EN CONCLUENCIAS CL ALCALATEN Y ALBACENTE  CON DESTINO A ESPAI PUBLIC LECTURA,20/08/2013,"526,81 €",5,33200,20200
2013.0003635,P-4 SL,JULIO13 ALQUILER DEL LOCAL SITO EN AVDA CASALDUCH 84 BAJO CON DESTINO A ESPAI PUBLIC LECTURA,20/08/2013,"1.867,64 €",5,33200,20200
2013.0003636,MOLINA Y POZO SL,JULIO13 ALQUILER DEL LOCAL SITO EN CL MANUEL AZAÑA 8 CON DESTINO A ESPAI PUBLIC LECTURA,20/08/2013,"777,43 €",5,33200,20200
2013.0003698,PLACIDO GOMEZ SL,"JULIO/13, SUMINISTRO DE LIBROS CON DESTINO A CENTROS DE LECTURA MUNICIPALES. LOTE 3: LIBROS MATERIAS VARIAS. DEC. 01-08-12",10/09/2013,"563,34 €",5,33200,220011
2013.0003701,LLIBRERIA CASTELLO SL,JULIO/13. SUMINISTRO DE LIBROS CON DESTINO A CENTROS DE LECTURA MUNICIPALES. LOTE 2: LIBROS DE NARRATIVA. DEC. 01-08-12,10/09/2013,"554,61 €",5,33200,220011
2013.0003703,ARGOT CULTURAL S L,"JULIO/13, SUMINISTRO DE LIBROS CON DESTINO A CENTROS DE LECTURA MUNICIPALES. LOTE 1: LIBROS INFANTILES Y JUVENILES. DEC. 01-08-12",10/09/2013,"585,72 €",5,33200,220011
2013.0004177,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,JULIO/13. PRENSA PARA BILIOTECA MUNICIPAL C/MAYOR.,07/10/2013,"289,60 €",5,33200,220010
2013.0004178,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,JULIO/13. PRENSA PARA BIBLIOTECA DEL GRAO.,07/10/2013,"107,15 €",5,33200,220010
2013.0004180,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,JULIO/13. PRENSA PARA BIBLIOTECA CENSAL.,07/10/2013,"197,65 €",5,33200,220010
2013.0004229,LOGINTEGRAL 2000 S.A.U.,2013. SUSCRIPCIÓN DEL DIARIO EL MUNDO DE LOS 8 ESPACIOS DE LECTURA MUNICIPALES.,07/10/2013,"3.669,44 €",5,33200,220010
2013.0004504,ARGOT CULTURAL S L,"AGOSTO/13, SUMINISTRO DE LIBROS CON DESTINO A CENTROS DE LECTURA MUNICIPALES. LOTE 1: LIBROS INFANTILES Y JUVENILES. DEC. 01-08-12",14/10/2013,"578,57 €",5,33200,220011
2013.0004507,LLIBRERIA CASTELLO SL,"AGOSTO/13, SUMINISTRO DE LIBROS CON DESTINO A CENTROS DE LECTURA MUNICIPALES. LOTE 2: LIBROS DE NARRATIVA. DEC. 01-08-12",14/10/2013,"560,08 €",5,33200,220011
2013.0004511,PLACIDO GOMEZ SL,"AGOSTO/13, SUMINISTRO DE LIBROS CON DESTINO A CENTROS DE LECTURA MUNICIPALES. LOTE 3: LIBROS MATERIAS VARIAS. DEC. 01-08-12",14/10/2013,"564,01 €",5,33200,220011
2013.0004576,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,AGOSTO 13 ALQUILER DEL LOCAL SITO EN CONCLUENCIAS CL ALCALATEN Y ALBACENTE  CON DESTINO A ESPAI PUBLIC LECTURA,04/10/2013,"526,81 €",5,33200,20200
2013.0004577,P-4 SL,"AGOSTO 13 ALQUILER DEL LOCAL SITO EN AVDA CASALDUCH 84 BAJO CON DESTINO A ESPAI PUBLIC LECTURA, COMPENSACION SEGUN DECRETO FECHA 30-10-2013.",04/10/2013,"1.867,64 €",5,33200,20200
2013.0004578,MOLINA Y POZO SL,AGOSTO 13 ALQUILER DEL LOCAL SITO EN CL MANUEL AZAÑA 8 CON DESTINO A ESPAI PUBLIC LECTURA,04/10/2013,"777,43 €",5,33200,20200
2013.0004712,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,14 DE MAYO A 16 DE AGOSTO 2010 CONSUMO ELECTRICIDAD DEL ALQUILER DEL LOCAL SITO EN CONCLUENCIAS CL ALCALATEN Y ALBACENTE  CON DESTINO A ESPAI PUBLIC LECTURA,07/11/2013,"54,09 €",5,33200,20200
2013.0004713,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,OCTUBRE-NOVIEMBRE 2012 CONSUMO ELECTRICIDAD Y JULIO-SEPTIEMBRE 2012 CONSUMO AGUA DEL ALQUILER DEL LOCAL SITO EN CONCLUENCIAS CL ALCALATEN Y ALBACENTE  CON DESTINO A ESPAI PUBLIC LECTURA,07/11/2013,"76,39 €",5,33200,20200
2013.0004902,CEREMONIAL EDICIONES SL,"ADQUISICION DE 1 EJEMPLAR DEL LIBRO ""LLIBRE QUE FEU LO GLORIOS REY EN JAUME ...DE TOS LOS FETS E LES GRATIES QUE NOSTRE SENYOR LI FEU EN LA SEUA VIDA.VIDA DEL GLORIOS MARTIR MONSENYOR SANT JORDI""(CRÓNICA DEL REY DON JAIME)",06/11/2013,"862,68 €",5,33200,220011
2013.0004919,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,AGOSTO/13. PRENSA PARA BIBLIOTECA MUNICIPAL C/MAYOR.,06/11/2013,"256,55 €",5,33200,220010
2013.0004920,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,AGOSTO/13. PRENSA PARA BIBLIOTECA DEL GRAO.,06/11/2013,"119,60 €",5,33200,220010
2013.0004922,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,AGOSTO/13. SUMINISTRO PRENSA PARA BIBLIOTECA CENSAL.,06/11/2013,"45,60 €",5,33200,220010
2013.0005031,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,SEPTIEMBRE 13 ALQUILER DEL LOCAL SITO EN CONCLUENCIAS CL ALCALATEN Y ALBACENTE  CON DESTINO A ESPAI PUBLIC LECTURA,23/10/2013,"526,81 €",5,33200,20200
2013.0005032,P-4 SL,SEPTIEMBRE 13 ALQUILER DEL LOCAL SITO EN AVDA CASALDUCH 84 BAJO CON DESTINO A ESPAI PUBLIC LECTURA,23/10/2013,"1.867,64 €",5,33200,20200
2013.0005033,MOLINA Y POZO SL,SEPTIEMBRE 13 ALQUILER DEL LOCAL SITO EN CL MANUEL AZAÑA 8 CON DESTINO A ESPAI PUBLIC LECTURA,23/10/2013,"777,43 €",5,33200,20200
2013.0005051,ARGOT CULTURAL S L,OCTUBRE/13. SUMINSTRO DE LIBROS CON DESTINO A LOS CENTROS DE LECTURA MUNICIPALES. LOTE 1 (LIBROS INFANTILES Y JUVENILES)  DEC. 18-09-13,29/10/2013,"559,84 €",5,33200,220011
2013.0005052,LLIBRERIA CASTELLO SL,"OCTUBRE/13 , SUMINSTRO DE LIBROS CON DESTINO A LOS CENTROS DE LECTURA MUNICIPALES. LOTE 2 (LIBROS NARRATIVA) DEC. 18-09-13",29/10/2013,"556,64 €",5,33200,220011
